op1,op2,op3,sensor1,sensor2,sensor3,sensor4,sensor7,sensor8,sensor9,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,label
0.0019,0.0001,100.0,518.67,641.89,1588.51,1399.16,554.02,2388.08,9045.26,47.4,521.91,2388.06,8129.99,84.376,0.03,392.0,2388.0,100.0,38.94,23.365,0
-0.0014,0.0005,100.0,518.67,642.23,1584.35,1397.76,554.23,2388.07,9050.64,47.22,521.37,2388.04,8135.48,84.151,0.03,392.0,2388.0,100.0,39.06,234.498,0
-0.0032,-0.0001,100.0,518.67,642.77,1588.49,1403.62,553.92,2388.06,9048.6,47.47,522.33,2388.09,8127.3,84.116,0.03,392.0,2388.0,100.0,38.85,234.106,0
-0.001,0.0003,100.0,518.67,642.81,1585.54,1400.42,553.73,2388.02,9047.09,47.12,521.91,2388.05,8134.36,84.504,0.03,393.0,2388.0,100.0,38.94,233.651,0
0.0018,-0.0001,100.0,518.67,642.76,1583.77,1395.57,553.04,2388.04,9056.01,47.07,522.1,2388.07,8132.82,84.539,0.03,391.0,2388.0,100.0,39.0,233.388,0
0.0021,-0.0001,100.0,518.67,642.61,1579.82,1402.26,554.16,2388.05,9051.15,47.29,521.96,2388.06,8134.38,84.418,0.03,392.0,2388.0,100.0,38.9,233.775,0
-0.0002,0.0005,100.0,518.67,642.42,1592.59,1401.2,553.95,2388.04,9056.29,47.38,522.44,2388.06,8129.95,84.189,0.03,392.0,2388.0,100.0,38.96,232.348,0
0.0009,-0.0,100.0,518.67,642.41,1584.95,1401.58,554.45,2388.04,9048.94,47.4,522.11,2388.02,8134.1,84.071,0.03,392.0,2388.0,100.0,39.06,233.567,0
0.0007,-0.0002,100.0,518.67,642.49,1586.33,1400.76,553.98,2388.01,9042.42,47.26,522.48,2388.04,8135.4,84.022,0.03,391.0,2388.0,100.0,38.68,233.408,0
-0.0033,0.0,100.0,518.67,642.13,1583.67,1402.79,553.42,2388.05,9050.8,47.29,521.62,2388.08,8135.48,84.263,0.03,392.0,2388.0,100.0,38.84,233.567,0
-0.0014,0.0001,100.0,518.67,641.9,1590.46,1397.99,554.14,2388.09,9050.33,47.26,522.21,2388.04,8132.08,84.319,0.03,390.0,2388.0,100.0,38.93,232.893,0
-0.0006,0.0002,100.0,518.67,642.33,1596.72,1403.51,554.62,2388.07,9050.06,47.26,521.32,2388.02,8128.81,84.476,0.03,392.0,2388.0,100.0,38.92,234.444,0
-0.001,-0.0002,100.0,518.67,642.34,1582.75,1403.07,554.0,2388.06,9051.69,47.41,522.49,2388.03,8132.89,83.878,0.03,393.0,2388.0,100.0,38.89,23.387,0
0.0004,0.0005,100.0,518.67,642.1,1583.55,1405.52,554.09,2388.11,9050.58,47.31,522.34,2388.09,8131.66,84.264,0.03,391.0,2388.0,100.0,38.89,233.638,0
0.0004,0.0001,100.0,518.67,642.17,1581.59,1399.54,554.45,2388.1,9053.62,47.28,522.19,2388.1,8132.28,84.071,0.03,391.0,2388.0,100.0,39.03,232.707,0
0.0015,0.0002,100.0,518.67,642.6,1592.14,1395.38,553.48,2388.06,9049.96,47.51,521.56,2388.01,8130.73,84.357,0.03,394.0,2388.0,100.0,38.77,233.436,0
0.0017,0.0002,100.0,518.67,642.23,1584.51,1400.11,553.88,2388.1,9043.67,47.45,521.82,2388.04,8128.15,84.066,0.03,391.0,2388.0,100.0,38.93,23.384,0
-0.0,0.0005,100.0,518.67,642.28,1584.72,1403.24,553.97,2388.03,9044.01,47.56,521.54,2388.13,8132.94,84.406,0.03,392.0,2388.0,100.0,38.9,233.752,0
-0.0007,-0.0004,100.0,518.67,642.5,1588.5,1399.52,554.0,2388.06,9059.45,47.14,521.76,2388.05,8128.32,83.911,0.03,391.0,2388.0,100.0,38.95,233.152,0
0.0016,-0.0004,100.0,518.67,642.33,1590.22,1403.02,554.31,2388.1,9050.24,47.39,522.64,2388.08,8134.07,83.925,0.03,393.0,2388.0,100.0,38.97,23.291,0
-0.0018,0.0,100.0,518.67,642.51,1582.06,1404.42,554.04,2388.1,9051.78,47.36,521.72,2388.07,8132.39,84.242,0.03,392.0,2388.0,100.0,38.95,233.174,0
-0.0022,0.0005,100.0,518.67,642.44,1590.7,1401.24,554.65,2388.07,9050.59,47.41,522.22,2388.1,8129.13,84.292,0.03,392.0,2388.0,100.0,39.0,233.742,0
-0.0005,0.0002,100.0,518.67,642.22,1584.02,1402.78,554.01,2388.11,9053.43,47.41,521.93,2388.12,8130.36,84.279,0.03,392.0,2388.0,100.0,38.86,234.513,0
0.0016,-0.0003,100.0,518.67,642.21,1580.41,1403.09,554.06,2388.03,9046.09,47.3,521.72,2388.09,8134.28,8.423,0.03,391.0,2388.0,100.0,38.8,233.881,0
-0.0017,0.0001,100.0,518.67,642.41,1579.25,1406.81,553.76,2388.07,9054.42,47.27,521.97,2388.09,8133.95,83.951,0.03,391.0,2388.0,100.0,38.84,233.085,0
-0.0012,-0.0002,100.0,518.67,642.29,1592.04,1397.93,553.88,2388.03,9049.64,47.29,522.04,2388.1,8129.85,8.404,0.03,391.0,2388.0,100.0,39.03,233.975,0
0.0027,0.0001,100.0,518.67,642.96,1584.65,1401.48,554.03,2388.07,9045.85,47.58,522.25,2387.97,8132.67,84.135,0.03,392.0,2388.0,100.0,38.8,23.382,0
0.0009,-0.0004,100.0,518.67,641.96,1582.32,1394.82,553.6,2388.07,9042.32,47.22,521.77,2388.11,8130.13,84.621,0.03,392.0,2388.0,100.0,38.89,233.521,0
-0.0015,0.0002,100.0,518.67,642.21,1589.21,1398.94,553.66,2388.02,9056.55,47.44,521.58,2388.03,8136.44,83.996,0.03,390.0,2388.0,100.0,39.02,234.428,0
0.0022,0.0004,100.0,518.67,642.55,1586.3,1400.97,554.61,2388.06,9046.44,47.41,521.6,2388.08,8135.25,8.453,0.03,393.0,2388.0,100.0,38.99,23.275,0
0.004,0.0002,100.0,518.67,641.99,1580.76,1404.1,553.47,2388.08,9042.37,47.4,522.28,2388.16,8133.91,83.793,0.03,392.0,2388.0,100.0,38.88,233.486,0
0.0022,-0.0002,100.0,518.67,642.12,1582.46,1403.93,553.77,2388.04,9047.86,47.35,521.85,2388.13,8135.4,84.132,0.03,394.0,2388.0,100.0,38.9,233.121,0
-0.0002,-0.0004,100.0,518.67,641.94,1591.96,1393.58,553.91,2388.06,9043.67,47.64,521.52,2388.1,8134.66,84.235,0.03,392.0,2388.0,100.0,38.89,233.613,0
-0.0018,-0.0004,100.0,518.67,642.73,1584.82,1402.04,553.88,2388.1,9045.31,47.43,521.66,2388.05,8128.87,84.247,0.03,392.0,2388.0,100.0,38.77,23.373,0
-0.0012,0.0001,100.0,518.67,642.04,1589.07,1399.17,554.18,2388.1,9048.22,47.25,521.95,2388.03,8134.04,83.986,0.03,393.0,2388.0,100.0,38.89,232.713,0
0.0004,0.0005,100.0,518.67,642.66,1588.05,1406.38,553.49,2388.08,9049.08,47.22,521.93,2388.05,8131.32,84.128,0.03,391.0,2388.0,100.0,38.8,233.274,0
0.0005,0.0002,100.0,518.67,642.64,1585.52,1406.6,553.91,2388.05,9050.47,47.38,521.54,2388.06,8131.54,84.139,0.03,392.0,2388.0,100.0,38.73,232.653,0
0.0025,0.0003,100.0,518.67,642.28,1590.12,1405.96,554.4,2388.01,9056.08,47.36,522.3,2388.05,8135.31,84.499,0.03,392.0,2388.0,100.0,39.01,23.284,0
-0.0012,0.0004,100.0,518.67,641.84,1588.8,1403.56,553.69,2388.1,9047.26,47.38,521.82,2388.09,8130.06,84.173,0.03,394.0,2388.0,100.0,38.94,233.945,0
0.0,-0.0004,100.0,518.67,642.33,1586.69,1413.1,554.1,2388.14,9050.52,47.34,521.43,2388.06,8130.41,84.326,0.03,391.0,2388.0,100.0,38.88,233.402,0
0.0029,0.0003,100.0,518.67,641.96,1581.29,1406.09,554.48,2388.07,9046.73,47.46,522.2,2388.04,8131.47,84.586,0.03,392.0,2388.0,100.0,38.9,233.086,0
0.0008,-0.0001,100.0,518.67,642.24,1584.73,1402.22,553.91,2388.05,9055.24,47.46,521.55,2388.08,8135.15,84.489,0.03,392.0,2388.0,100.0,38.95,233.288,0
0.0017,-0.0001,100.0,518.67,642.67,1584.38,1412.93,552.88,2388.1,9051.27,47.32,521.49,2388.09,8129.72,83.961,0.03,391.0,2388.0,100.0,38.98,234.712,0
0.0025,-0.0004,100.0,518.67,641.98,1584.84,1404.76,553.54,2388.04,9050.72,47.32,521.55,2388.1,8134.4,83.949,0.03,394.0,2388.0,100.0,39.11,233.842,0
0.001,-0.0002,100.0,518.67,642.89,1590.03,1400.77,553.81,2388.14,9048.36,47.45,521.91,2388.05,8131.39,83.982,0.03,392.0,2388.0,100.0,38.99,233.522,0
0.0032,0.0002,100.0,518.67,642.85,1593.74,1408.48,554.07,2388.07,9047.87,47.46,521.43,2388.08,8133.15,8.421,0.03,392.0,2388.0,100.0,38.86,232.477,0
-0.0021,0.0002,100.0,518.67,642.45,1583.27,1404.94,553.86,2388.15,9045.83,47.48,521.61,2388.07,8132.4,84.524,0.03,393.0,2388.0,100.0,38.85,233.758,0
0.0019,0.0003,100.0,518.67,642.86,1577.6,1410.1,553.91,2388.02,9048.85,47.38,521.92,2388.02,8131.63,84.575,0.03,394.0,2388.0,100.0,38.76,233.269,0
-0.0034,0.0001,100.0,518.67,642.19,1584.07,1395.16,553.34,2388.07,9048.71,47.39,521.66,2388.06,8130.69,84.311,0.03,392.0,2388.0,100.0,38.88,233.255,0
0.0035,-0.0003,100.0,518.67,642.07,1595.77,1407.81,553.4,2388.09,9046.1,47.46,521.67,2388.06,8128.74,84.105,0.03,392.0,2388.0,100.0,39.01,232.963,0
0.0006,0.0004,100.0,518.67,642.0,1591.11,1404.56,552.75,2388.06,9045.49,47.37,522.31,2388.06,8127.89,84.012,0.03,391.0,2388.0,100.0,38.96,232.554,0
-0.0005,-0.0,100.0,518.67,642.46,1592.73,1406.13,553.76,2388.08,9045.14,47.4,521.42,2388.1,8131.77,84.481,0.03,393.0,2388.0,100.0,38.82,232.323,0
-0.0021,-0.0003,100.0,518.67,642.22,1589.63,1411.35,554.22,2388.07,9045.72,47.64,521.55,2388.08,8132.49,84.241,0.03,392.0,2388.0,100.0,38.93,23.409,0
0.0012,0.0003,100.0,518.67,642.75,1584.18,1403.41,553.37,2388.06,9052.3,47.62,521.89,2388.08,8125.97,84.353,0.03,391.0,2388.0,100.0,38.75,234.149,0
0.0017,0.0005,100.0,518.67,642.85,1589.11,1403.42,553.42,2388.15,9051.36,47.49,521.38,2388.05,8130.4,84.561,0.03,393.0,2388.0,100.0,38.94,233.653,0
-0.0013,0.0001,100.0,518.67,642.21,1581.27,1403.21,553.64,2388.09,9053.28,47.57,521.41,2388.1,8124.4,84.263,0.03,392.0,2388.0,100.0,38.69,234.289,0
-0.0001,0.0001,100.0,518.67,642.29,1590.63,1406.25,553.66,2388.08,9044.73,47.34,522.38,2388.09,8131.89,84.021,0.03,392.0,2388.0,100.0,38.96,233.393,0
0.0024,0.0004,100.0,518.67,642.01,1588.28,1403.22,553.11,2388.09,9048.36,47.31,521.81,2388.08,8134.01,84.326,0.03,393.0,2388.0,100.0,38.77,233.857,0
0.0,0.0001,100.0,518.67,642.68,1589.05,1404.45,553.6,2388.08,9049.82,47.44,521.51,2388.09,8126.38,84.664,0.03,392.0,2388.0,100.0,39.08,234.148,0
-0.0012,-0.0001,100.0,518.67,642.53,1595.13,1407.73,553.74,2388.07,9048.68,47.35,521.75,2388.07,8132.4,84.241,0.03,396.0,2388.0,100.0,39.01,234.086,0
0.0008,0.0001,100.0,518.67,643.49,1585.91,1399.47,554.43,2388.14,9047.03,47.61,521.52,2388.03,8131.52,84.133,0.03,393.0,2388.0,100.0,38.75,233.032,0
-0.0011,-0.0003,100.0,518.67,642.49,1586.45,1409.1,553.59,2388.1,9051.13,47.58,521.62,2388.11,8130.97,83.757,0.03,394.0,2388.0,100.0,39.05,233.561,0
-0.0,0.0004,100.0,518.67,642.55,1590.01,1401.27,554.08,2388.13,9051.4,47.55,522.01,2388.12,8127.16,84.638,0.03,393.0,2388.0,100.0,39.06,232.951,0
0.0008,0.0004,100.0,518.67,642.67,1584.38,1408.11,553.49,2388.12,9051.64,47.62,521.53,2388.14,8132.4,84.447,0.03,392.0,2388.0,100.0,38.92,232.135,0
0.0005,0.0003,100.0,518.67,642.66,1586.46,1401.84,553.19,2388.06,9051.28,47.22,521.9,2388.08,8131.52,84.445,0.03,394.0,2388.0,100.0,38.84,233.207,0
0.0007,0.0001,100.0,518.67,642.68,1590.85,1406.59,552.91,2388.1,9053.15,47.46,521.75,2388.16,8129.32,8.458,0.03,393.0,2388.0,100.0,38.9,233.101,0
0.0003,0.0004,100.0,518.67,642.31,1588.42,1402.97,554.29,2388.07,9046.58,47.58,521.68,2388.15,8132.36,8.429,0.03,394.0,2388.0,100.0,38.89,233.754,0
-0.0017,0.0005,100.0,518.67,642.66,1594.84,1406.6,554.13,2388.11,9050.37,47.43,521.36,2388.12,8127.6,84.345,0.03,393.0,2388.0,100.0,38.93,233.022,0
-0.002,-0.0003,100.0,518.67,642.64,1580.31,1401.99,554.4,2388.08,9049.71,47.43,521.6,2388.05,8134.46,84.059,0.03,394.0,2388.0,100.0,39.03,233.512,0
0.0005,0.0004,100.0,518.67,642.38,1589.77,1409.35,554.59,2388.1,9049.61,47.52,521.22,2388.1,8126.12,84.256,0.03,391.0,2388.0,100.0,38.73,231.766,0
-0.0006,-0.0004,100.0,518.67,642.34,1585.67,1409.34,554.25,2388.1,9051.12,47.55,521.31,2388.12,8135.21,84.197,0.03,393.0,2388.0,100.0,38.88,232.966,0
0.0013,0.0005,100.0,518.67,642.67,1596.8,1404.46,553.77,2388.1,9045.89,47.55,521.46,2388.09,8123.85,84.194,0.03,394.0,2388.0,100.0,39.01,233.188,0
-0.0024,0.0005,100.0,518.67,642.81,1593.78,1407.68,553.66,2388.1,9048.72,47.6,521.34,2388.1,8125.57,84.029,0.03,393.0,2388.0,100.0,38.81,233.061,0
-0.0033,0.0004,100.0,518.67,642.63,1593.56,1411.9,553.7,2388.07,9040.97,47.44,521.3,2388.04,8133.94,84.263,0.03,394.0,2388.0,100.0,38.63,23.422,0
0.0026,-0.0001,100.0,518.67,643.3,1593.68,1413.97,553.43,2388.15,9042.39,47.6,520.92,2388.12,8131.81,84.256,0.03,393.0,2388.0,100.0,38.86,232.793,0
0.0016,-0.0002,100.0,518.67,643.39,1586.66,1403.04,552.64,2388.12,9049.44,47.41,521.6,2388.17,8129.72,84.396,0.03,392.0,2388.0,100.0,38.9,23.292,0
0.0025,0.0002,100.0,518.67,642.48,1587.14,1402.28,552.26,2388.13,9053.03,47.55,521.4,2388.13,8133.82,84.416,0.03,393.0,2388.0,100.0,38.8,232.341,0
-0.0004,0.0005,100.0,518.67,642.96,1585.47,1406.42,552.44,2388.13,9046.16,47.63,521.57,2388.11,8126.33,84.079,0.03,394.0,2388.0,100.0,38.68,233.039,0
0.0016,0.0001,100.0,518.67,642.49,1582.64,1418.5,553.72,2388.05,9049.11,47.49,521.35,2388.08,8130.94,84.378,0.03,392.0,2388.0,100.0,38.85,232.289,0
-0.001,0.0002,100.0,518.67,642.99,1586.9,1399.49,553.81,2388.09,9047.9,47.63,521.34,2388.1,8133.0,84.626,0.03,393.0,2388.0,100.0,38.91,232.772,0
-0.0006,0.0003,100.0,518.67,642.47,1593.87,1407.06,552.74,2388.13,9056.59,47.62,521.96,2388.16,8132.08,84.413,0.03,393.0,2388.0,100.0,38.85,232.641,0
-0.0033,0.0003,100.0,518.67,642.41,1591.33,1408.42,552.42,2388.09,9046.08,47.61,522.02,2388.13,8127.33,84.681,0.03,393.0,2388.0,100.0,38.84,232.656,0
-0.0007,0.0002,100.0,518.67,642.7,1585.9,1412.25,552.66,2388.13,9042.97,47.46,521.49,2388.07,8125.29,83.938,0.03,394.0,2388.0,100.0,38.71,233.461,0
0.0002,-0.0001,100.0,518.67,643.01,1585.78,1413.25,553.7,2388.11,9045.1,47.7,521.45,2388.13,8126.38,84.328,0.03,391.0,2388.0,100.0,38.73,233.435,0
0.0032,-0.0001,100.0,518.67,643.19,1596.06,1405.76,553.16,2388.17,9044.04,47.56,521.64,2388.16,8128.92,84.227,0.03,393.0,2388.0,100.0,38.53,233.186,0
0.0032,-0.0002,100.0,518.67,642.45,1592.64,1410.11,553.82,2388.11,9050.95,47.57,521.23,2388.09,8130.93,84.604,0.03,394.0,2388.0,100.0,38.95,232.521,0
-0.0014,0.0,100.0,518.67,642.85,1583.62,1402.67,553.2,2388.11,9046.16,47.75,521.52,2388.13,8131.3,84.293,0.03,393.0,2388.0,100.0,38.68,232.833,0
-0.0017,0.0001,100.0,518.67,642.45,1585.55,1406.83,553.09,2388.14,9050.65,47.34,520.99,2388.12,8129.34,84.242,0.03,392.0,2388.0,100.0,38.85,232.744,0
0.003,-0.0001,100.0,518.67,642.84,1584.72,1404.39,554.18,2388.06,9040.89,47.43,521.54,2388.11,8130.43,84.469,0.03,393.0,2388.0,100.0,38.76,231.699,0
-0.0011,0.0,100.0,518.67,642.43,1594.69,1405.15,553.39,2388.14,9040.55,47.89,521.63,2388.12,8128.81,8.449,0.03,394.0,2388.0,100.0,38.87,232.593,0
-0.0011,0.0001,100.0,518.67,642.79,1589.82,1413.34,552.91,2388.11,9049.64,47.4,521.57,2388.18,8129.67,84.208,0.03,392.0,2388.0,100.0,39.0,233.664,0
-0.0014,0.0005,100.0,518.67,643.11,1592.28,1412.6,553.25,2388.06,9044.81,47.67,521.03,2388.15,8124.97,84.621,0.03,394.0,2388.0,100.0,38.88,233.422,0
-0.0006,-0.0001,100.0,518.67,643.05,1590.89,1408.36,552.15,2388.17,9055.85,47.51,521.27,2388.05,8130.27,84.397,0.03,393.0,2388.0,100.0,38.82,233.704,0
-0.0023,0.0005,100.0,518.67,642.39,1590.02,1415.25,553.45,2388.13,9050.86,47.49,521.06,2388.16,8120.93,84.641,0.03,394.0,2388.0,100.0,39.02,232.382,0
0.0026,0.0002,100.0,518.67,642.51,1595.29,1413.42,553.11,2388.1,9046.61,47.59,520.44,2388.18,8124.87,84.291,0.03,392.0,2388.0,100.0,38.71,232.816,0
-0.0005,-0.0003,100.0,518.67,642.77,1593.1,1404.21,553.62,2388.13,9050.63,47.52,520.98,2388.11,8126.81,84.419,0.03,393.0,2388.0,100.0,38.79,232.305,0
0.0025,-0.0004,100.0,518.67,643.09,1591.89,1405.76,553.77,2388.17,9049.33,47.57,521.11,2388.17,8125.47,84.601,0.03,393.0,2388.0,100.0,38.75,232.249,0
